	POS	dependency_head	dependency_label	doc_token_number	lemma	ne_info	sentence_number	sentence_token_number	token	cue_label
139	NN	4	ccomp	140	story	O	5	11	story	0
140	.	4	punct	141	.	O	5	12	.	0
141	PRP	3	nsubj	142	we	O	6	1	We	0
142	VBP	3	aux	143	be	O	6	2	're	0
143	VBG	0	root	144	talk	O	6	3	talking	0
144	IN	5	case	145	about	B-DATE	6	4	about	0
145	NNS	6	obl:npmod	146	year	I-DATE	6	5	years	0
146	RB	3	advmod	147	ago	E-DATE	6	6	ago	0
147	IN	9	mark	148	before	O	6	7	before	0
148	NN	9	nsubj	149	anyone	O	6	8	anyone	0
149	VBD	3	advcl	150	hear	O	6	9	heard	0
150	IN	11	case	151	of	O	6	10	of	0
151	NN	9	obl	152	asbesto	O	6	11	asbestos	0
152	VBG	9	advcl	153	have	O	6	12	having	0
153	DT	15	det	154	any	O	6	13	any	0
154	JJ	15	amod	155	questionable	O	6	14	questionable	0
155	NNS	12	obj	156	property	O	6	15	properties	0
156	.	3	punct	157	.	O	6	16	.	0
157	EX	2	expl	158	there	O	7	1	There	0
158	VBZ	0	root	159	be	O	7	2	is	0
159	DT	4	det	160	no	O	7	3	no	0
160	NN	2	nsubj	161	asbesto	O	7	4	asbestos	0
161	IN	7	case	162	in	O	7	5	in	0
162	PRP$	7	nmod:poss	163	we	O	7	6	our	0
163	NNS	4	nmod	164	product	O	7	7	products	0
164	RB	2	advmod	165	now	O	7	8	now	0
165	.	2	punct	166	.	O	7	9	.	0
166	''	2	punct	167	''	O	7	10	''	0
167	CC	11	cc	168	neither	O	8	1	Neither	0
168	NNP	11	nsubj	169	Lorillard	S-ORG	8	2	Lorillard	0
169	CC	5	cc	170	nor	O	8	3	nor	0
170	DT	5	det	171	the	O	8	4	the	0
171	NNS	2	conj	172	researcher	O	8	5	researchers	0
172	WP	7	nsubj	173	who	O	8	6	who	0
173	VBD	5	acl:relcl	174	study	O	8	7	studied	0
174	DT	9	det	175	the	O	8	8	the	0
175	NNS	7	obj	176	worker	O	8	9	workers	0
176	VBD	11	cop	177	be	O	8	10	were	0
177	JJ	0	root	178	aware	O	8	11	aware	0
178	IN	14	case	179	of	O	8	12	of	0
179	DT	14	det	180	any	O	8	13	any	0
180	NN	11	obl	181	research	O	8	14	research	0
181	IN	16	case	182	on	O	8	15	on	0
182	NNS	14	nmod	183	smoker	O	8	16	smokers	0
183	IN	20	case	184	of	O	8	17	of	0
184	DT	20	det	185	the	O	8	18	the	0
185	NNP	20	compound	186	Kent	S-GPE	8	19	Kent	0
186	NNS	16	nmod	187	cigarette	O	8	20	cigarettes	0
187	.	11	punct	188	.	O	8	21	.	0
188	``	15	punct	189	``	O	9	1	``	0
189	PRP	3	nsubj	190	we	O	9	2	We	0
190	VBP	15	ccomp	191	have	O	9	3	have	0
191	DT	6	det	192	no	O	9	4	no	0
192	JJ	6	amod	193	useful	O	9	5	useful	0
193	NN	3	obj	194	information	O	9	6	information	0
194	IN	12	mark	195	on	O	9	7	on	0
195	IN	12	mark	196	whether	O	9	8	whether	0
196	NNS	12	nsubj	197	user	O	9	9	users	0
197	VBP	12	cop	198	be	O	9	10	are	0
198	IN	12	case	199	at	O	9	11	at	0
199	NN	6	acl	200	risk	O	9	12	risk	0
200	,	15	punct	201	,	O	9	13	,	0
201	''	15	punct	202	''	O	9	14	''	0
202	VBD	0	root	203	say	O	9	15	said	1
203	NNP	15	nsubj	204	James	B-PERSON	9	16	James	0
204	NNP	16	flat	205	A.	I-PERSON	9	17	A.	0
205	NNP	16	flat	206	Talcott	E-PERSON	9	18	Talcott	0
206	IN	24	case	207	of	O	9	19	of	0
207	NNP	24	nmod:poss	208	Boston	S-GPE	9	20	Boston	0
208	POS	20	case	209	's	O	9	21	's	0
209	NNP	24	compound	210	Dana-Farber	B-ORG	9	22	Dana-Farber	0
210	NNP	24	compound	211	Cancer	I-ORG	9	23	Cancer	0
211	NNP	16	nmod	212	Institute	E-ORG	9	24	Institute	0
212	.	15	punct	213	.	O	9	25	.	0
213	NNP	3	nsubj	214	Dr.	O	10	1	Dr.	0
214	NNP	1	flat	215	Talcott	S-PERSON	10	2	Talcott	0
215	VBD	0	root	216	lead	O	10	3	led	0
216	DT	5	det	217	a	O	10	4	a	0
217	NN	3	obj	218	team	O	10	5	team	0
218	IN	7	case	219	of	O	10	6	of	0
219	NNS	5	nmod	220	researcher	O	10	7	researchers	0
220	IN	12	case	221	from	O	10	8	from	0
221	DT	12	det	222	the	B-ORG	10	9	the	0
222	NNP	12	compound	223	National	I-ORG	10	10	National	0
223	NNP	12	compound	224	Cancer	I-ORG	10	11	Cancer	0
224	NNP	5	nmod	225	Institute	E-ORG	10	12	Institute	0
225	CC	16	cc	226	and	O	10	13	and	0
226	DT	16	det	227	the	O	10	14	the	0
227	JJ	16	amod	228	medical	O	10	15	medical	0
228	NNS	12	conj	229	school	O	10	16	schools	0
229	IN	19	case	230	of	O	10	17	of	0
230	NNP	19	compound	231	Harvard	B-ORG	10	18	Harvard	0
231	NNP	16	nmod	232	University	E-ORG	10	19	University	0
232	CC	22	cc	233	and	O	10	20	and	0
233	NNP	22	compound	234	Boston	B-ORG	10	21	Boston	0
234	NNP	19	conj	235	University	E-ORG	10	22	University	0
235	.	3	punct	236	.	O	10	23	.	0
236	DT	3	det	237	the	O	11	1	The	0
237	NNP	3	compound	238	Lorillard	S-ORG	11	2	Lorillard	0
238	NN	4	nsubj	239	spokeswoman	O	11	3	spokeswoman	0
239	VBD	0	root	240	say	O	11	4	said	1
240	NN	7	nsubj:pass	241	asbesto	O	11	5	asbestos	0
241	VBD	7	aux:pass	242	be	O	11	6	was	0
242	VBN	4	ccomp	243	use	O	11	7	used	0
243	IN	12	case	244	in	O	11	8	in	0
244	``	12	punct	245	``	O	11	9	``	0
245	RB	11	advmod	246	very	O	11	10	very	0
246	JJ	12	amod	247	modest	O	11	11	modest	0
247	NNS	7	obl	248	amount	O	11	12	amounts	0
248	''	12	punct	249	''	O	11	13	''	0
249	IN	15	mark	250	in	O	11	14	in	0
250	VBG	7	advcl	251	make	O	11	15	making	0
251	NN	15	obj	252	paper	O	11	16	paper	0
252	IN	19	case	253	for	O	11	17	for	0
253	DT	19	det	254	the	O	11	18	the	0
254	NNS	15	obl	255	filter	O	11	19	filters	0
255	IN	23	case	256	in	O	11	20	in	0
256	DT	23	det	257	the	B-DATE	11	21	the	0
257	JJ	23	amod	258	early	I-DATE	11	22	early	0
258	NNS	15	obl	259	1950	E-DATE	11	23	1950s	0
259	CC	25	cc	260	and	O	11	24	and	0
260	VBD	7	conj	261	replace	O	11	25	replaced	0
261	IN	29	case	262	with	O	11	26	with	0
262	DT	29	det	263	a	O	11	27	a	0
263	JJ	29	amod	264	different	O	11	28	different	0
264	NN	25	obl	265	type	O	11	29	type	0
265	IN	31	case	266	of	O	11	30	of	0
266	NN	29	nmod	267	filter	O	11	31	filter	0
267	IN	33	case	268	in	O	11	32	in	0
268	CD	29	nmod	269	1956	S-DATE	11	33	1956	0
269	.	4	punct	270	.	O	11	34	.	0
270	IN	2	case	271	from	B-DATE	12	1	From	0
271	CD	14	obl	272	1953	I-DATE	12	2	1953	0
272	IN	4	case	273	to	I-DATE	12	3	to	0
273	CD	2	nmod	274	1955	E-DATE	12	4	1955	0
274	,	14	punct	275	,	O	12	5	,	0
275	CD	7	compound	276	9.8	B-CARDINAL	12	6	9.8	0
276	CD	9	nummod	277	billion	E-CARDINAL	12	7	billion	0
277	NNP	9	compound	278	Kent	S-ORG	12	8	Kent	0
278	NNS	14	nsubj:pass	279	cigarette	O	12	9	cigarettes	0
279	IN	12	case	280	with	O	12	10	with	0
280	DT	12	det	281	the	O	12	11	the	0
281	NNS	9	nmod	282	filter	O	12	12	filters	0
282	VBD	14	aux:pass	283	be	O	12	13	were	0
283	VBN	18	ccomp	284	sell	O	12	14	sold	0
284	,	18	punct	285	,	O	12	15	,	0
285	DT	17	det	286	the	O	12	16	the	0
286	NN	18	nsubj	287	company	O	12	17	company	0
287	VBD	0	root	288	say	O	12	18	said	1
288	.	18	punct	289	.	O	12	19	.	0
289	IN	3	case	290	among	O	13	1	Among	0
290	CD	3	nummod	291	33	S-CARDINAL	13	2	33	0
291	NNS	13	obl	292	man	O	13	3	men	0
292	WP	5	nsubj	293	who	O	13	4	who	0
293	VBD	3	acl:relcl	294	work	O	13	5	worked	0
294	RB	5	advmod	295	closely	O	13	6	closely	0
295	IN	9	case	296	with	O	13	7	with	0
296	DT	9	det	297	the	O	13	8	the	0
297	NN	5	obl	298	substance	O	13	9	substance	0
298	,	13	punct	299	,	O	13	10	,	0
299	CD	13	nsubj	300	28	S-CARDINAL	13	11	28	0
300	VBP	13	aux	301	have	O	13	12	have	0
301	VBN	0	root	302	die	O	13	13	died	0
302	,	13	punct	303	--	O	13	14	--	0
303	JJR	17	advmod	304	more	B-CARDINAL	13	15	more	0
304	IN	15	fixed	305	than	I-CARDINAL	13	16	than	0
305	CD	18	compound	306	three	E-CARDINAL	13	17	three	0
306	NNS	21	nummod	307	time	O	13	18	times	0
307	DT	21	det	308	the	O	13	19	the	0
308	VBN	21	amod	309	expect	O	13	20	expected	0
309	NN	13	obj	310	number	O	13	21	number	0
310	.	13	punct	311	.	O	13	22	.	0
311	CD	7	nsubj	312	four	S-CARDINAL	14	1	Four	0
312	IN	6	case	313	of	O	14	2	of	0
313	DT	6	det	314	the	O	14	3	the	0
314	CD	6	nummod	315	five	S-CARDINAL	14	4	five	0
315	VBG	6	amod	316	survive	O	14	5	surviving	0
316	NNS	1	nmod	317	worker	O	14	6	workers	0
317	VBP	0	root	318	have	O	14	7	have	0
318	JJ	9	amod	319	asbestos-related	O	14	8	asbestos-related	0
319	NNS	7	obj	320	disease	O	14	9	diseases	0
320	,	9	punct	321	,	O	14	10	,	0
321	VBG	12	case	322	include	O	14	11	including	0
322	CD	9	nmod	323	three	S-CARDINAL	14	12	three	0
323	IN	16	case	324	with	O	14	13	with	0
324	RB	15	advmod	325	recently	O	14	14	recently	0
325	VBN	16	amod	326	diagnose	O	14	15	diagnosed	0
326	NN	12	nmod	327	cancer	O	14	16	cancer	0
327	.	7	punct	328	.	O	14	17	.	0
328	DT	2	det	329	the	O	15	1	The	0
329	NN	16	nsubj	330	total	O	15	2	total	0
330	IN	5	case	331	of	O	15	3	of	0
331	CD	5	nummod	332	18	S-CARDINAL	15	4	18	0
332	NNS	2	nmod	333	death	O	15	5	deaths	0
333	IN	8	case	334	from	O	15	6	from	0
334	JJ	8	amod	335	malignant	O	15	7	malignant	0
335	NN	5	nmod	336	mesothelioma	O	15	8	mesothelioma	0
336	,	11	punct	337	,	O	15	9	,	0
337	NN	11	compound	338	lung	O	15	10	lung	0
338	NN	8	conj	339	cancer	O	15	11	cancer	0
339	CC	13	cc	340	and	O	15	12	and	0
340	NN	8	conj	341	asbestosis	O	15	13	asbestosis	0
341	VBD	16	cop	342	be	O	15	14	was	0
342	RB	16	advmod	343	far	O	15	15	far	0
343	JJR	22	ccomp	344	higher	O	15	16	higher	0
344	IN	18	mark	345	than	O	15	17	than	0
345	VBN	16	advcl	346	expect	O	15	18	expected	0
346	,	22	punct	347	,	O	15	19	,	0
347	DT	21	det	348	the	O	15	20	the	0
348	NNS	22	nsubj	349	researcher	O	15	21	researchers	0
349	VBD	0	root	350	say	O	15	22	said	1
350	.	22	punct	351	.	O	15	23	.	0
351	``	19	punct	352	``	O	16	1	``	0
352	DT	4	det	353	the	O	16	2	The	0
353	NN	4	compound	354	morbidity	O	16	3	morbidity	0
354	NN	8	nsubj	355	rate	O	16	4	rate	0
355	VBZ	8	cop	356	be	O	16	5	is	0
356	DT	8	det	357	a	O	16	6	a	0
357	VBG	8	amod	358	strike	O	16	7	striking	0
358	NN	19	ccomp	359	finding	O	16	8	finding	0
359	IN	10	case	360	among	O	16	9	among	0
360	DT	8	nmod	361	those	O	16	10	those	0
361	IN	12	case	362	of	O	16	11	of	0
362	PRP	10	nmod	363	we	O	16	12	us	0
363	WP	14	nsubj	364	who	O	16	13	who	0
364	VBP	10	acl:relcl	365	study	O	16	14	study	0
365	JJ	16	amod	366	asbestos-related	O	16	15	asbestos-related	0
366	NNS	14	obj	367	disease	O	16	16	diseases	0
367	,	19	punct	368	,	O	16	17	,	0
368	''	19	punct	369	''	O	16	18	''	0
369	VBD	0	root	370	say	O	16	19	said	0
370	NNP	19	nsubj	371	Dr.	O	16	20	Dr.	0
371	NNP	20	flat	372	Talcott	S-PERSON	16	21	Talcott	0
372	.	19	punct	373	.	O	16	22	.	0
373	DT	2	det	374	the	O	17	1	The	0
374	NN	19	nsubj	375	percentage	O	17	2	percentage	0
375	IN	6	case	376	of	O	17	3	of	0
376	NN	5	compound	377	lung	O	17	4	lung	0
377	NN	6	compound	378	cancer	O	17	5	cancer	0
378	NNS	2	nmod	379	death	O	17	6	deaths	0
379	IN	9	case	380	among	O	17	7	among	0
380	DT	9	det	381	the	O	17	8	the	0
381	NNS	6	nmod	382	worker	O	17	9	workers	0
382	IN	13	case	383	at	O	17	10	at	0
383	DT	13	det	384	the	O	17	11	the	0
384	NNP	13	compound	385	West	B-GPE	17	12	West	0
385	NNP	9	nmod	386	Groton	E-GPE	17	13	Groton	0
386	,	13	punct	387	,	O	17	14	,	0
387	NNP	13	appos	388	Mass.	S-GPE	17	15	Mass.	0
388	,	13	punct	389	,	O	17	16	,	0
389	NN	18	compound	390	paper	O	17	17	paper	0
390	NN	13	conj	391	factory	O	17	18	factory	0
391	VBZ	35	ccomp	392	appear	O	17	19	appears	0
392	TO	23	mark	393	to	O	17	20	to	0
393	VB	23	cop	394	be	O	17	21	be	0
394	DT	23	det	395	the	O	17	22	the	0
395	JJS	19	xcomp	396	highest	O	17	23	highest	0
396	IN	27	case	397	for	O	17	24	for	0
397	DT	27	det	398	any	O	17	25	any	0
398	NN	27	compound	399	asbesto	O	17	26	asbestos	0
399	NNS	23	obl	400	worker	O	17	27	workers	0
400	VBN	27	acl	401	study	O	17	28	studied	0
401	IN	32	case	402	in	O	17	29	in	0
402	JJ	32	amod	403	western	O	17	30	Western	0
403	VBN	32	amod	404	industrialize	O	17	31	industrialized	0
404	NNS	28	obl	405	country	O	17	32	countries	0
405	,	35	punct	406	,	O	17	33	,	0
406	PRP	35	nsubj	407	he	O	17	34	he	0
407	VBD	0	root	408	say	O	17	35	said	0
408	.	35	punct	409	.	O	17	36	.	0
409	DT	2	det	410	the	O	18	1	The	0
410	NN	15	nsubj	411	plant	O	18	2	plant	0
411	,	2	punct	412	,	O	18	3	,	0
412	WDT	6	nsubj:pass	413	which	O	18	4	which	0
413	VBZ	6	aux:pass	414	be	O	18	5	is	0
414	VBN	2	acl:relcl	415	own	O	18	6	owned	0
415	IN	8	case	416	by	O	18	7	by	0
416	NNP	6	obl	417	Hollingsworth	B-ORG	18	8	Hollingsworth	0
417	NNP	8	flat	418	&amp;	I-ORG	18	9	&amp;	0
418	NNP	8	flat	419	Vose	I-ORG	18	10	Vose	0
419	NNP	8	flat	420	Co.	E-ORG	18	11	Co.	0
420	,	15	punct	421	,	O	18	12	,	0
421	VBD	15	cop	422	be	O	18	13	was	0
422	IN	15	case	423	under	O	18	14	under	0
423	NN	0	root	424	contract	O	18	15	contract	0
424	IN	17	case	425	with	O	18	16	with	0
425	NNP	15	nmod	426	Lorillard	S-ORG	18	17	Lorillard	0
426	TO	19	mark	427	to	O	18	18	to	0
427	VB	15	acl	428	make	O	18	19	make	0
428	DT	22	det	429	the	O	18	20	the	0
429	NN	22	compound	430	cigarette	O	18	21	cigarette	0
430	NNS	19	obj	431	filter	O	18	22	filters	0
431	.	15	punct	432	.	O	18	23	.	0
432	DT	2	det	433	the	O	19	1	The	0
433	NN	5	nsubj	434	finding	O	19	2	finding	0
434	RB	5	advmod	435	probably	O	19	3	probably	0
435	MD	5	aux	436	will	O	19	4	will	0
436	VB	41	ccomp	437	support	O	19	5	support	0
437	DT	5	obj	438	those	O	19	6	those	0
438	WP	8	nsubj	439	who	O	19	7	who	0
439	VBP	6	acl:relcl	440	argue	O	19	8	argue	0
440	IN	13	mark	441	that	O	19	9	that	0
441	DT	11	det	442	the	O	19	10	the	0
442	NNP	13	nsubj	443	U.S.	S-GPE	19	11	U.S.	0
443	MD	13	aux	444	should	O	19	12	should	0
444	VB	8	ccomp	445	regulate	O	19	13	regulate	0
445	DT	15	det	446	the	O	19	14	the	0
446	NN	13	obj	447	class	O	19	15	class	0
447	IN	17	case	448	of	O	19	16	of	0
448	NN	15	nmod	449	asbesto	O	19	17	asbestos	0
449	VBG	19	case	450	include	O	19	18	including	0
450	NN	15	nmod	451	crocidolite	O	19	19	crocidolite	0
451	RBR	21	advmod	452	more	O	19	20	more	0
452	RB	13	advmod	453	stringently	O	19	21	stringently	0
453	IN	25	case	454	than	O	19	22	than	0
454	DT	25	det	455	the	O	19	23	the	0
455	JJ	25	amod	456	common	O	19	24	common	0
456	NN	21	obl	457	kind	O	19	25	kind	0
457	IN	27	case	458	of	O	19	26	of	0
458	NN	25	nmod	459	asbesto	O	19	27	asbestos	0
459	,	29	punct	460	,	O	19	28	,	0
460	NN	27	conj	461	chrysotile	O	19	29	chrysotile	0
461	,	27	punct	462	,	O	19	30	,	0
462	VBN	25	acl	463	find	O	19	31	found	0
463	IN	34	case	464	in	O	19	32	in	0
464	JJS	34	amod	465	most	O	19	33	most	0
465	NNS	31	obl	466	school	O	19	34	schools	0
466	CC	37	cc	467	and	O	19	35	and	0
467	JJ	37	amod	468	other	O	19	36	other	0
468	NNS	34	conj	469	building	O	19	37	buildings	0
469	,	41	punct	470	,	O	19	38	,	0
470	NNP	41	nsubj	471	Dr.	O	19	39	Dr.	0
471	NNP	39	flat	472	Talcott	S-PERSON	19	40	Talcott	0
472	VBD	0	root	473	say	O	19	41	said	0
473	.	41	punct	474	.	O	19	42	.	0
474	DT	2	det	475	the	O	20	1	The	0
475	NNP	4	nsubj	476	U.S.	S-GPE	20	2	U.S.	0
476	VBZ	4	cop	477	be	O	20	3	is	0
477	CD	0	root	478	one	S-CARDINAL	20	4	one	0
478	IN	9	case	479	of	O	20	5	of	0
479	DT	9	det	480	the	O	20	6	the	0
480	JJ	9	amod	481	few	O	20	7	few	0
481	VBN	9	amod	482	industrialize	O	20	8	industrialized	0
482	NNS	4	nmod	483	nation	O	20	9	nations	0
483	WDT	13	nsubj	484	that	O	20	10	that	0
484	VBZ	13	aux	485	do	O	20	11	does	0
485	RB	13	advmod	486	not	O	20	12	n't	0
486	VB	9	acl:relcl	487	have	O	20	13	have	0
487	DT	16	det	488	a	O	20	14	a	0
488	JJR	16	amod	489	higher	O	20	15	higher	0
489	NN	13	obj	490	standard	O	20	16	standard	0
490	IN	18	case	491	of	O	20	17	of	0
491	NN	16	nmod	492	regulation	O	20	18	regulation	0
492	IN	24	case	493	for	O	20	19	for	0
493	DT	24	det	494	the	O	20	20	the	0
494	JJ	24	amod	495	smooth	O	20	21	smooth	0
495	,	24	punct	496	,	O	20	22	,	0
496	JJ	24	amod	497	needle-like	O	20	23	needle-like	0
497	NNS	16	nmod	498	fiber	O	20	24	fibers	0
498	JJ	27	case	499	such	O	20	25	such	0
499	IN	25	fixed	500	as	O	20	26	as	0
500	NN	24	nmod	501	crocidolite	O	20	27	crocidolite	0
501	WDT	30	nsubj:pass	502	that	O	20	28	that	0
502	VBP	30	aux:pass	503	be	O	20	29	are	0
503	VBN	27	acl:relcl	504	classify	O	20	30	classified	0
504	IN	32	case	505	as	O	20	31	as	0
505	NNS	30	obl	506	amphobile	O	20	32	amphobiles	0
506	,	36	punct	507	,	O	20	33	,	0
507	VBG	36	case	508	accord	O	20	34	according	0
508	IN	34	fixed	509	to	O	20	35	to	0
509	NNP	30	obl	510	Brooke	B-PERSON	20	36	Brooke	0
510	NNP	36	flat	511	T.	I-PERSON	20	37	T.	0
511	NNP	36	flat	512	Mossman	E-PERSON	20	38	Mossman	0
512	,	36	punct	513	,	O	20	39	,	0
513	DT	41	det	514	a	O	20	40	a	0
514	NN	36	appos	515	professor	O	20	41	professor	0
515	IN	43	case	516	of	O	20	42	of	0
